1;Luis Cruz;0.99
2;Leonie Köhler;0.99
3;François Tremblay;0.99
4;Bjørn Hansen;0.99
5;František Wichterlová;0.99
6;Helena Holý;0.99
7;Astrid Gruber;0.99
8;Daan Peeters;0.99
9;Kara Nielsen;0.99
10;Eduardo Martins;0.99
11;Alexandre Rocha;0.99
12;Roberto Almeida;0.99
13;Fernanda Ramos;0.99
14;Mark Philips;0.99
15;Jennifer Peterson;0.99
16;Frank Harris;0.99
17;Jack Smith;0.99
18;Michelle Brooks;0.99
20;Dan Miller;0.99
21;Kathy Chase;0.99
22;Heather Leacock;0.99
23;John Gordon;0.99
24;Frank Ralston;0.99
25;Victor Stevens;0.99
26;Richard Cunningham;0.99
27;Patrick Gray;0.99
28;Julia Barnett;0.99
29;Robert Brown;0.99
30;Edward Francis;0.99
31;Martha Silk;0.99
32;Aaron Mitchell;0.99
33;Ellie Sullivan;0.99
34;João Fernandes;0.99
35;Madalena Sampaio;0.99
36;Hannah Schneider;0.99
37;Fynn Zimmermann;0.99
38;Niklas Schröder;0.99
40;Dominique Lefebvre;0.99
41;Marc Dubois;0.99
42;Wyatt Girard;0.99
43;Isabelle Mercier;0.99
44;Terhi Hämäläinen;0.99
45;Ladislav Kovács;0.99
46;Hugh O'Reilly;0.99
47;Lucas Mancini;0.99
48;Johannes Van der Berg;0.99
49;Stanisław Wójcik;0.99
50;Enrique Muñoz;0.99
51;Joakim Johansson;0.99
52;Emma Jones;0.99
53;Phil Hughes;0.99
54;Steve Murray;0.99
55;Mark Taylor;0.99
56;Diego Gutiérrez;0.99
57;Luis Rojas;0.99
58;Manoj Pareek;1.98
59;Puja Srivastava;1.98
39;Camille Bernard;1.98
19;Tim Goyer;1.98
